country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,latitude,longitude
AGO,0.409948922961107,0.401596941172835,0.510140831446347,0.331320808382214,0.909698924544645,0.84248925435999,0.577043014446965,0.556263022552826,0.677678138929029,0.685141350156283,0.676400678220358,0.850598711632685,0.587863651636066,1.17771719308712,1.16176745726748,1.30896795518685,1.43517411076185,2.142882823944092,-12.5,18.5
ARG,3.5360727831825,3.62096868568039,3.49034762044121,3.58365149781153,3.51590619581147,3.66189622823494,3.77091353030549,3.81002385467109,3.98150323024565,3.8200410395587,3.76578553881501,3.48954400390468,3.74591018069379,4.04270416734892,4.10856487964921,4.4979746744619,4.66692219526354,4.493664741516113,-34.0,-64.0
ARM,,1.06716870438326,0.869320101959041,0.901555063910483,1.08308924156414,0.821905721135432,1.04576379753199,1.09570033266851,0.98953415232652,1.12652945387306,1.1554277662347,0.981119655335868,1.12026940220627,1.19015990272356,1.41850203884337,1.42626074810316,1.64492363982472,1.863215446472168,40.0,45.0
AUS,16.2884898171719,16.8308907116319,17.1006280636214,17.0236701204145,17.0116171978752,17.9815373272896,18.0171550467138,18.5405840414729,17.1997916622636,17.2090339894533,16.7341230103539,17.3726910042033,17.4149047015893,17.350630384451,18.0140556906662,18.2328628025065,18.0716233479654,16.56853675842285,-27.0,133.0
AUT,8.44845612181925,7.77783761273182,7.34209735057725,7.2630108216356,7.62257428486394,7.66551294757567,7.6977817158852,7.9610924500602,7.71738459965814,7.712473734832,7.91209676402939,8.05560263183786,8.90843664539653,8.82220619716932,9.03466350066195,8.70834709741979,8.28928386076117,8.07510757446289,47.3333,13.3333
BGD,0.147913464227,0.16101783293357,0.154531296689631,0.164866620838011,0.194200918583708,0.200367840280276,0.204820319174727,0.192629859754327,0.198346567127337,0.215024645566258,0.245931147882508,0.250991483887543,0.247771054337506,0.286623654280832,0.267823547459504,0.327664860170878,0.326002414404793,0.47333958745002747,24.0,90.0
BGR,6.91683202038925,6.27640971896956,8.18322733711048,6.62103260225252,7.11965511904762,6.78456438487315,6.45822591922973,6.17576625893182,5.35843055555556,5.40086315136476,5.87276308470291,5.67222315414919,6.04729221526269,6.01288843657135,6.18991912040207,6.35710116352471,6.89474688776312,7.27199649810791,43.0,25.0
BLR,,8.56375156617071,7.27132542240453,6.44512809230468,6.09368059642927,5.92097785433071,5.88307571414451,5.72028692025027,5.56243886397608,5.34418060969515,5.27526671403601,5.27863264483627,5.44072535877722,5.92611736322854,6.03977437448318,6.35060724377087,6.21069305297877,6.318958759307861,53.0,28.0
BOL,0.848155678579783,0.953270841769226,1.12606252216944,1.21944996255594,1.26144888350505,1.14365361365095,1.26112353227367,1.29544159833662,1.20028574229967,1.14593087867366,1.04169389323144,0.965238943735378,1.30692267651069,1.18301950246228,1.12535883336586,1.12452996026501,1.3794604679433,1.3443288803100586,-17.0,-65.0
BRA,1.44157142038667,1.42775731935799,1.46980558575786,1.51917316592036,1.70260845470707,1.8330255777257,1.9248604631384,1.85356871479972,1.87318790344127,1.8926450310814,1.92164029567756,1.86952561293602,1.78796284095263,1.85544359148851,1.88167746530881,1.8756387982433,1.94084420879517,5.010061740875244,-10.0,-55.0
CAN,15.93988909069,16.3974560067495,16.5752196505338,15.6118819802053,15.6636390951829,15.7685733303226,16.1146620224629,15.831871435703,15.6682395603819,17.4653154564393,16.9594281559364,16.6390037306294,17.4731230268973,17.3735228004376,17.4175690765041,16.806156727618,16.5020560104318,16.953174591064453,60.0,-95.0
CHE,6.22796808823529,6.30190618181818,5.91276001729605,5.92938275664855,5.59398480329499,5.65808665535765,5.86626876410835,5.89505063291139,5.70028473389356,5.44163110648943,5.94749434322516,5.59662507277741,5.48329356927556,5.47302242885292,5.56328105723792,5.5956051990838,5.03494463137043,5.020071506500244,47.0,8.0
CHL,2.45671495530487,2.49428554112393,2.60518457735766,2.83221358331529,3.02660642180086,3.38509219850303,3.84465679939634,3.92225058816442,4.08528970478855,3.89724367729325,3.46179727252919,3.5524663565761,3.53447322280433,3.87016694365911,3.91405180040445,3.98926835470755,4.2143510824761,4.657206058502197,-30.0,-71.0
CHN,2.24590127565651,2.31420729031649,2.44280065934625,2.56599389177193,2.75575496636525,2.84430958153669,2.82056789057578,2.67674598026467,2.64864924664833,2.69686243322549,2.74212081298895,2.88522504139331,3.51224542766222,4.08013890554173,4.4411506949345,4.89272709798477,5.15356401658718,5.290586948394775,35.0,105.0
CIV,0.435364687452688,0.345550474939879,0.42639445410058,0.368399163965194,0.485945207532772,0.555277923423278,0.527606247999387,0.435322672623548,0.385824405990831,0.409566163276966,0.457374723433516,0.424100917258714,0.31280471411276,0.432218540207897,0.434237914036255,0.389591682932737,0.342378464369724,0.9595205783843994,8.0,-5.0
CMR,0.0886759387781423,0.294612321546755,0.294488686762049,0.280900040538058,0.313029017878119,0.322106250404638,0.219790816071287,0.214248273927966,0.201009511127312,0.218921616920848,0.213302188184258,0.208290242279949,0.226137295700993,0.230505764926348,0.210574373138166,0.237610159571371,0.336124610640794,0.4814279079437256,6.0,12.0
COG,0.515544810015575,0.624214545217912,0.596462888338543,0.808162476287615,0.57298845905853,0.610706027291381,0.810564468955574,0.261459125444914,0.268834867156482,0.334450867457561,0.268178182757451,0.215186247899388,0.322548839271466,0.55232234351443,0.45458973609304,0.403226788801401,0.426599710717705,0.6726880669593811,-1.0,15.0
